,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,9.65,-1.65,1.36,2.875,-45.25,-5.25,-0.021111111111111112,0.023333333333333334,0.005555555555555556,182.5,77.4375,47.25,4489216.0,172294144.0,-32096256.0,203276288.0,0.08,-0.08,-0.08,9.57,-1.56,1.44
1,16.022000000000002,16,9.65,-1.65,1.36,2.875,-45.25,-5.25,-0.03777777777777778,0.043333333333333335,0.005555555555555556,182.5,77.375,47.1875,4521984.0,172244992.0,-32145408.0,203309056.0,0.0,-0.22,0.01,8.29,-1.56,1.44
2,24.995,8,9.57,-1.78,1.46,2.875,-45.25,-5.25,-0.05,0.06777777777777778,-0.0033333333333333335,190.5625,77.375,47.125,4571136.0,172179456.0,-32194560.0,203358208.0,-1.29,-0.25,0.06,9.57,-1.56,1.45
3,35.427,10,9.55,-1.82,1.52,2.875,-45.25,-5.25,-0.03888888888888889,0.06666666666666667,-0.011111111111111112,190.5625,77.375,47.0,4620288.0,172113920.0,-32227328.0,203407360.0,-1.37,-0.14,0.08,9.56,-1.56,1.46
4,45.987,10,9.47,-1.71,1.54,2.875,-45.25,-5.25,-0.03,0.04666666666666667,-0.011111111111111112,190.5625,77.3125,46.9375,4653056.0,172064768.0,-32260096.0,203440128.0,0.0,-0.03,0.08,8.28,-1.56,1.46
5,55.367,9,9.55,-1.6,1.55,10.875,-45.25,-5.25,-0.04,0.025555555555555557,-0.0077777777777777776,190.625,77.3125,46.875,4685824.0,172032000.0,-32292864.0,203456512.0,-1.31,-0.03,0.03,8.28,-1.56,1.46
6,64.47200000000001,9,9.53,-1.6,1.5,3.25,-45.25,-5.5625,-0.04,0.025555555555555557,-0.0077777777777777776,190.625,77.3125,46.9375,4751360.0,172015616.0,-32374784.0,203456512.0,-1.33,-0.08,-0.03,9.56,-1.57,1.46
7,73.424,8,9.51,-1.65,1.42,11.25,-45.25,-5.5625,-0.07,0.014444444444444444,-0.0077777777777777776,190.6875,77.3125,46.9375,4816896.0,172015616.0,-32456704.0,203440128.0,0.06,-0.13,-0.04,9.56,-1.57,1.46
8,83.334,9,9.63,-1.7,1.41,11.25,-45.25,-5.5625,-0.08666666666666667,0.005555555555555556,-0.005555555555555556,190.75,77.3125,47.0,4882432.0,172015616.0,-32538624.0,203440128.0,-1.3,-0.15,-0.04,9.56,-1.57,1.46
9,93.758,10,9.54,-1.73,1.41,11.25,-45.25,-5.5625,-0.08222222222222222,0.005555555555555556,-0.006666666666666667,190.75,77.3125,47.0625,4947968.0,172015616.0,-32620544.0,203423744.0,0.0,-0.07,-0.12,9.56,-1.57,1.46
