,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,-8.42,-1.45,-1.85,-21.5625,4.75,38.375,0.01888888888888889,0.03888888888888889,0.0,289.3125,-75.375,145.5,135774208.0,-144064512.0,150831104.0,97681408.0,-1.49,-0.05,0.17,-9.49,-1.39,-2.03
1,15.918000000000001,15,-9.68,-1.48,-1.85,-29.5625,4.75,38.375,0.025555555555555557,0.025555555555555557,-0.0022222222222222222,289.375,-75.375,145.5,135823360.0,-144031744.0,150863872.0,97632256.0,-1.48,-0.1,0.15,-9.49,-1.39,-2.03
2,27.330000000000002,11,-9.69,-1.49,-1.88,-29.5625,4.75,38.375,0.034444444444444444,0.016666666666666666,-0.0011111111111111111,297.4375,-75.375,145.4375,135872512.0,-143982592.0,150880256.0,97599488.0,-1.44,-0.09,0.12,-9.49,-1.39,-2.03
3,38.454,11,-8.38,-1.49,-1.91,-21.5625,4.75,38.375,0.04888888888888889,0.005555555555555556,0.0,289.4375,-75.375,145.4375,135954432.0,-143884288.0,150962176.0,97501184.0,-1.41,-0.09,0.06,-9.49,-1.4,-2.03
4,47.559,9,-8.34,-1.49,-1.96,-22.25,5.1875,38.875,0.056666666666666664,0.006666666666666667,-0.0033333333333333335,297.5,-75.375,145.375,138051584.0,-143884288.0,150962176.0,97501184.0,-1.41,-0.11,0.05,-9.49,-1.4,-2.03
5,56.68,9,-8.34,-1.52,-1.97,-22.25,5.1875,38.875,0.07,0.0044444444444444444,-0.0044444444444444444,289.5625,-75.375,145.3125,138100736.0,-143835136.0,150994944.0,97452032.0,-1.37,-0.1,0.03,-9.49,-1.4,-2.02
6,66.539,9,-8.3,-1.5,-1.99,-30.25,5.1875,38.875,0.07666666666666666,0.0033333333333333335,0.0011111111111111111,289.625,-75.375,145.3125,136134656.0,-143736832.0,151060480.0,97320960.0,-1.38,-0.11,0.06,-9.49,-1.4,-2.02
7,77.625,11,-9.59,-1.52,-1.95,-30.25,5.1875,38.875,0.08666666666666667,-0.0033333333333333335,0.0044444444444444444,289.75,-75.375,145.1875,136200192.0,-143671296.0,151093248.0,97255424.0,-1.29,-0.09,0.08,-9.49,-1.4,-2.02
8,88.472,10,-8.22,-1.5,-1.93,-22.25,5.1875,38.875,0.08333333333333333,0.0011111111111111111,0.0044444444444444444,289.75,-75.375,145.1875,138444800.0,-143474688.0,151273472.0,97058816.0,-1.32,-0.07,0.02,-9.49,-1.41,-2.02
9,97.316,8,-9.54,-1.48,-1.99,-30.25,5.5625,37.6875,0.07555555555555556,-0.0033333333333333335,0.0,289.9375,-75.375,145.0625,138493952.0,-143425536.0,151289856.0,97026048.0,-1.29,-0.04,0.0,-9.49,-1.41,-2.02
10,107.884,10,-8.22,-1.45,-2.02,-30.25,5.5625,37.6875,0.06111111111111111,0.0,-0.0044444444444444444,298.0,-75.375,145.0,138543104.0,-143409152.0,151306240.0,96976896.0,-1.3,-0.04,0.0,-9.49,-1.41,-2.02
11,118.32,10,-8.23,-1.45,-2.03,-30.25,5.5625,37.6875,0.05333333333333334,0.0033333333333333335,-0.011111111111111112,298.0625,-75.375,145.0,138575872.0,-143392768.0,151339008.0,96911360.0,-1.35,0.03,-0.04,-8.21,-1.41,-2.02
12,128.524,10,-9.56,-1.37,-2.06,-30.25,5.5625,37.6875,0.058888888888888886,0.025555555555555557,-0.016666666666666666,298.0625,-75.375,144.9375,138592256.0,-143376384.0,151371776.0,96845824.0,-1.36,0.07,0.02,-9.48,-1.41,-2.02
13,138.954,10,-8.29,-1.34,-2.0,-22.25,5.5625,37.6875,0.058888888888888886,0.025555555555555557,-0.016666666666666666,298.0625,-75.375,144.9375,138625024.0,-143343616.0,151420928.0,96780288.0,-1.37,0.09,0.08,-9.48,-1.41,-2.02
14,147.71,8,-8.3,-1.32,-1.93,-21.25,4.75,38.375,0.06777777777777778,0.025555555555555557,-0.0077777777777777776,298.125,-75.375,144.9375,138625024.0,-143343616.0,151420928.0,96780288.0,-1.37,0.11,0.12,-9.48,-1.42,-2.02
15,156.524,8,-8.3,-1.3,-1.9,-21.25,4.75,38.375,0.07222222222222222,0.023333333333333334,0.0033333333333333335,290.1875,-75.375,144.9375,138657792.0,-143294464.0,151470080.0,96714752.0,-1.4,0.16,0.1,-9.48,-1.42,-2.02
16,166.419,9,-8.33,-1.25,-1.92,-29.25,4.75,38.375,0.07,0.015555555555555555,0.01,290.1875,-75.375,144.9375,138723328.0,-143179776.0,151552000.0,96665600.0,-1.5,0.17,0.13,-9.48,-1.41,-2.02
17,177.171,10,-8.43,-1.24,-1.89,-29.25,4.75,38.375,0.05,0.008888888888888889,0.015555555555555555,290.25,-75.375,145.0,138739712.0,-143147008.0,151568384.0,96681984.0,-1.56,0.17,0.09,-9.49,-1.41,-2.02
18,188.06,10,-8.49,-1.23,-1.92,-21.25,4.75,38.375,0.02,0.0,0.021111111111111112,290.25,-75.375,145.0,138739712.0,-143147008.0,151568384.0,96681984.0,-1.72,0.11,-0.09,-8.21,-1.41,-2.02
19,196.893,8,-8.65,-1.29,-2.12,-21.875,4.75,37.1875,-0.15333333333333332,0.0011111111111111111,0.03,290.1875,-75.375,145.0625,138706944.0,-143114240.0,151601152.0,96714752.0,-1.72,0.11,-0.09,-8.21,-1.4,-2.02
20,205.707,8,-8.65,-1.3,-2.24,-21.875,4.75,37.1875,-0.04,0.005555555555555556,0.034444444444444444,290.125,-75.375,145.125,138657792.0,-143114240.0,151601152.0,96780288.0,-1.7,0.08,-0.27,-8.21,-1.4,-2.02
21,216.149,10,-8.63,-1.32,-2.3,-29.875,4.75,37.1875,-0.05333333333333334,0.017777777777777778,0.03888888888888889,290.0625,-75.4375,145.25,138510336.0,-143163392.0,151633920.0,96878592.0,-1.63,0.0,-0.27,-8.21,-1.39,-2.03
22,227.209,11,-8.56,-1.39,-2.3,-29.875,4.75,37.1875,-0.06333333333333334,0.04111111111111111,0.04,289.9375,-75.375,145.5625,136298496.0,-143212544.0,151666688.0,96911360.0,-1.48,-0.28,-0.3,-8.21,-1.39,-2.03
23,238.164,10,-8.41,-1.67,-2.34,-21.875,4.75,37.1875,-0.21888888888888888,0.06111111111111111,0.03888888888888889,289.9375,-75.375,145.5625,136298496.0,-143212544.0,151666688.0,96911360.0,-1.46,-0.39,-0.32,-8.2,-1.38,-2.04
24,246.984,8,-8.39,-1.78,-2.37,-21.5625,5.1875,38.375,-0.22,0.07444444444444444,0.02666666666666667,289.875,-75.375,145.75,136167424.0,-143278080.0,151699456.0,96927744.0,-1.46,-0.39,-0.32,-8.2,-1.38,-2.05
25,255.81199999999998,8,-8.32,-1.81,-2.47,-29.5625,5.1875,38.375,-0.05555555555555555,0.08222222222222222,0.006666666666666667,289.875,-75.3125,145.875,138166272.0,-143360000.0,151732224.0,96911360.0,-1.37,-0.41,-0.52,-8.2,-1.38,-2.06
26,266.758,10,-8.29,-1.8,-2.59,-29.5625,5.1875,38.375,-0.016666666666666666,0.09111111111111111,-0.01,289.875,-75.3125,146.0,135954432.0,-143458304.0,151846912.0,96763904.0,-1.4,-0.3,-0.5,-8.2,-1.39,-2.07
27,277.74199999999996,10,-8.33,-1.69,-2.57,-29.5625,5.1875,38.375,0.03,0.09666666666666666,-0.021111111111111112,298.0,-75.1875,146.0625,135938048.0,-143491072.0,151912448.0,96616448.0,-1.42,-0.23,-0.54,-8.2,-1.39,-2.07
