,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,-1.1,0.11,9.7,19.1875,37.0,-15.25,0.04666666666666667,0.028888888888888888,-0.0022222222222222222,23.4375,-6.6875,-1.25,-262340608.0,-6062080.0,-14778368.0,54558720.0,0.03,-0.16,-0.03,-1.14,0.21,9.73
1,64.35000000000001,64,-1.11,0.05,9.7,19.1875,37.0,-15.25,0.05333333333333334,0.03111111111111111,0.005555555555555556,23.4375,-6.6875,-1.25,-260243456.0,-6209536.0,-14827520.0,54542336.0,0.07,-0.18,0.0,-2.43,0.22,9.73
2,75.329,10,-1.07,0.04,9.73,19.1875,37.0,-15.25,0.06555555555555556,0.03222222222222222,0.022222222222222223,23.4375,-6.75,-1.3125,-260259840.0,-6307840.0,-14843904.0,54493184.0,0.1,-0.22,-0.01,-1.15,0.23,9.73
3,86.172,10,-1.05,0.0,9.72,19.1875,37.0,-15.25,0.22111111111111112,0.03222222222222222,0.04777777777777778,23.4375,-6.75,-1.3125,-260276224.0,-6422528.0,-14860288.0,54394880.0,0.04,-0.22,-0.05,-1.15,0.23,9.73
4,95.024,8,-1.11,0.01,9.67,19.5625,36.5625,-14.5,0.23222222222222222,0.03666666666666667,0.07777777777777778,23.375,-6.75,-1.375,-260276224.0,-6422528.0,-14860288.0,54394880.0,0.02,-0.17,-0.06,-1.15,0.24,9.73
5,103.80300000000001,8,-1.13,0.06,9.66,19.5625,36.5625,-14.5,0.24222222222222223,0.04,0.10111111111111111,23.3125,-6.75,-1.4375,-262389760.0,-6537216.0,-14893056.0,54280192.0,-1.29,-0.16,-0.12,-1.16,0.25,9.73
6,113.983,10,-1.18,0.09,9.6,19.5625,36.5625,-14.5,0.11555555555555555,0.03888888888888889,0.11555555555555555,23.3125,-6.75,-1.5,-262406144.0,-6684672.0,-14909440.0,54132736.0,-1.33,-0.12,-0.15,-1.16,0.27,9.73
7,124.852,10,-1.22,0.14,9.57,19.5625,36.5625,-14.5,0.13444444444444445,0.04,0.11555555555555555,23.25,-6.8125,-1.5625,-260358144.0,-7061504.0,-14942208.0,53870592.0,-1.31,-0.11,-0.13,-1.17,0.28,9.73
8,135.82,10,-1.2,0.17,9.59,19.5625,36.5625,-14.5,0.15444444444444444,0.04555555555555556,0.11222222222222222,23.1875,-6.8125,-1.625,-260358144.0,-7061504.0,-14942208.0,53870592.0,-1.37,-0.1,-0.15,-1.17,0.3,9.73
9,144.739,8,-1.26,0.19,9.57,20.6875,37.0,-14.5,0.19555555555555557,0.06111111111111111,0.10555555555555556,23.125,-6.875,-1.75,-260374528.0,-7323648.0,-14974976.0,53755904.0,-0.09,-0.1,-0.15,-1.18,0.32,9.72
10,153.597,8,-1.2,0.33,9.72,20.6875,37.0,-14.5,0.19555555555555557,0.06111111111111111,0.10555555555555556,23.0625,-6.875,-1.875,-262488064.0,-7585792.0,-14991360.0,53624832.0,-0.02,0.01,0.0,-2.46,0.34,9.72
11,163.607,10,-0.02,0.37,9.85,20.6875,37.0,-14.5,0.18888888888888888,0.06555555555555556,0.1111111111111111,23.0,-6.9375,-2.0,-262504448.0,-7847936.0,-15024128.0,53493760.0,-1.47,0.08,0.17,-2.47,0.35,9.72
12,174.544,10,-0.1,0.44,9.9,20.6875,37.0,-14.5,0.1622222222222222,0.05444444444444444,0.1111111111111111,22.9375,-6.9375,-2.0625,-260440064.0,-8257536.0,-15073280.0,53248000.0,-1.52,0.1,0.2,-2.47,0.37,9.72
13,185.74699999999999,11,-0.15,0.47,9.93,20.6875,37.0,-14.5,0.27,0.03888888888888889,0.10888888888888888,22.875,-7.0,-2.1875,-260440064.0,-8257536.0,-15073280.0,53248000.0,-1.49,0.04,0.18,-2.47,0.38,9.72
