,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,1.74,-3.14,9.47,-13.75,34.375,29.25,-0.2311111111111111,0.058888888888888886,0.016666666666666666,0.75,4.0625,17.875,-264224768.0,42336256.0,6553600.0,20250624.0,-1.51,-0.11,0.2,0.69,-3.01,9.3
1,69.658,69,1.74,-3.13,9.5,-13.375,35.875,29.5625,-0.22666666666666666,0.058888888888888886,0.011111111111111112,0.75,4.0625,17.9375,-264208384.0,42434560.0,6455296.0,20250624.0,-1.5,-0.09,0.2,0.69,-3.02,9.3
2,78.761,9,1.74,-3.11,9.51,-13.375,35.875,29.5625,-0.23333333333333334,0.06333333333333334,0.006666666666666667,8.75,4.0,18.0,-264192000.0,42549248.0,6340608.0,20267008.0,-1.47,-0.04,0.17,0.68,-3.03,9.3
3,88.823,10,0.48,-3.07,9.47,-5.375,35.875,29.5625,-0.10222222222222223,0.07555555555555556,-0.005555555555555556,8.75,3.9375,18.0625,-264159232.0,42795008.0,6111232.0,20332544.0,-1.43,0.01,0.11,0.67,-3.04,9.29
4,100.618,11,1.79,-3.02,9.4,-5.375,35.875,29.5625,-0.24222222222222223,0.07222222222222222,-0.052222222222222225,8.8125,3.875,18.125,-264126464.0,42909696.0,5996544.0,20414464.0,-1.39,0.03,0.07,0.66,-3.05,9.29
5,111.625,11,1.83,-3.01,9.36,-13.375,35.875,29.5625,-0.24222222222222223,0.07222222222222222,-0.052222222222222225,8.8125,3.875,18.125,-264110080.0,43008000.0,5914624.0,20512768.0,-1.35,0.1,0.03,0.66,-3.05,9.29
6,120.345,8,1.87,-2.95,9.33,-13.75,34.75,28.75,-0.2388888888888889,0.06222222222222222,-0.06444444444444444,8.875,3.875,18.1875,-264110080.0,43008000.0,5914624.0,20512768.0,-1.33,0.07,0.01,0.66,-3.06,9.29
7,129.215,8,1.88,-2.99,9.3,-13.75,34.75,28.75,-0.24222222222222223,0.056666666666666664,-0.06555555555555556,8.875,3.8125,18.25,-264077312.0,43122688.0,5849088.0,20611072.0,0.0,0.07,-0.02,1.93,-3.07,9.28
8,139.16400000000002,9,0.65,-3.0,9.26,-5.75,34.75,28.75,-0.10888888888888888,0.05333333333333334,-0.06,8.9375,3.8125,18.3125,-264028160.0,43384832.0,5718016.0,20758528.0,0.0,0.05,0.0,0.65,-3.08,9.28
9,150.061,10,1.93,-3.02,9.27,-5.75,34.75,28.75,-0.10777777777777778,0.05,-0.044444444444444446,9.0,3.8125,18.4375,-264011776.0,43515904.0,5652480.0,20824064.0,0.06,0.03,0.01,0.65,-3.09,9.28
10,160.81699999999998,10,1.99,-3.06,9.29,-13.75,34.75,28.75,-0.25333333333333335,0.051111111111111114,-0.034444444444444444,9.0,3.8125,18.4375,-264011776.0,43515904.0,5652480.0,20824064.0,0.04,0.0,0.09,0.64,-3.1,9.27
11,169.59199999999998,8,1.97,-3.11,9.37,-13.0,34.0,30.75,-0.25555555555555554,0.058888888888888886,-0.023333333333333334,9.0,3.75,18.5,-263979008.0,43646976.0,5570560.0,20873216.0,0.04,0.0,0.09,0.64,-3.11,9.27
12,178.41199999999998,8,1.96,-3.18,9.47,-13.0,34.0,30.75,-0.25,0.058888888888888886,-0.014444444444444444,9.0,3.75,18.5,-263962624.0,43778048.0,5488640.0,20905984.0,0.03,-0.07,0.19,0.63,-3.12,9.27
13,188.078,9,1.96,-3.19,9.51,-13.0,34.0,30.75,-0.10555555555555556,0.06111111111111111,-0.005555555555555556,9.0625,3.6875,18.5625,-263929856.0,43909120.0,5390336.0,20922368.0,0.04,-0.05,0.24,0.63,-3.13,9.27
14,198.94500000000002,10,1.95,-3.18,9.51,-5.0,34.0,30.75,-0.10666666666666667,0.06444444444444444,-0.006666666666666667,9.0625,3.6875,18.625,-263897088.0,44187648.0,5193728.0,20971520.0,-1.34,-0.06,0.18,0.62,-3.14,9.26
15,209.999,11,1.84,-3.2,9.44,-13.0,34.0,30.75,-0.2633333333333333,0.07555555555555556,-0.017777777777777778,9.0625,3.625,18.6875,-263897088.0,44187648.0,5193728.0,20971520.0,-1.36,-0.04,0.07,0.61,-3.15,9.26
16,218.82399999999998,8,1.81,-3.19,9.33,-13.75,34.75,30.0,-0.2822222222222222,0.08666666666666667,-0.03222222222222222,9.0625,3.5625,18.75,-263864320.0,44351488.0,5079040.0,21037056.0,-1.36,-0.04,0.07,0.61,-3.16,9.26
17,227.661,8,1.78,-3.2,9.22,-13.75,34.75,30.0,-0.28,0.07777777777777778,-0.05,9.125,3.5625,18.875,-263831552.0,44515328.0,4980736.0,21118976.0,-0.1,-0.03,-0.03,1.88,-3.17,9.25
18,237.625,9,1.74,-3.15,9.15,-5.75,34.75,30.0,-0.1322222222222222,0.06333333333333334,-0.06666666666666667,9.1875,3.5625,18.9375,-263798784.0,44662784.0,4898816.0,21217280.0,-1.42,0.08,-0.16,1.88,-3.18,9.25
19,248.894,11,1.74,-3.1,9.08,-5.75,34.75,30.0,-0.11888888888888889,0.04777777777777778,-0.07333333333333333,9.1875,3.5,19.0,-263733248.0,44941312.0,4800512.0,21430272.0,-1.42,0.05,-0.15,1.88,-3.19,9.25
20,260.19100000000003,11,1.74,-3.14,9.09,-13.75,34.75,30.0,-0.24555555555555555,0.03666666666666667,-0.08,9.25,3.5,19.0625,-263733248.0,44941312.0,4800512.0,21430272.0,-1.42,0.03,-0.11,1.88,-3.2,9.24
